序号,职位标题,薪资范围,公司名称,工作地点,所处行业,学历要求,每周天数,实习时长,福利待遇,职位描述,简历要求,截止日期,详细地址,详情页url
11,舆情数据分析师,200-400/天,快牛智能,上海,快牛智能,本科,5天／周,实习3个月,"一对一导师, 地铁周边, 接受大一大二, 留学生实习, 节日福利, 周末双休","岗位职责:

 1、负责海外googleplay平台和IOS平台的数据的采集与整理，并能对数据进行简单的分析。
 2、关注海外社交媒体中社群用户的舆情导向， 以及其他上级安排的工作。
 任职要求:
 1、本科以上学历，英语听说读写优秀，熟悉各种办公软件 学习能力强，能举一反三，逻辑清晰，做事仔细；
        2、熟悉Facebook、ins，油管等社交平台，有数据分析经验最佳 会泰语/西班牙语或有留学经历优先。", 中文,2026-3-31,上海市/上海市/长宁区 明基商务广场B座 淞虹路207号明基商务广场B栋,https://www.shixiseng.com/intern/inn_j5eufvpntsmj?pcm=pc_SearchList
12,数据分析师实习生-产品,薪资面议,小红书,上海,小红书,不限,5天／周,实习3个月,实习津贴,"我们是谁
「数据科学与分析部」面向小红书公司和平台，与全产品矩阵的所有业务紧密协作，建设数据体系，敏锐洞察国内外市场，关注行业动态、用户&客户诉求，创造数据价值，实现数据驱动业务决策，成为业务决策大脑，打造业内领先的数据科学与分析团队。
见证为小红书提供无限可能的各象限业务的高速发展，面临多重的业务场景、复杂的业务逻辑、超大的数据量级、空前的技术挑战，助你快速上手公司全流程业务，为你提升职业生涯核心竞争力!
和靠谱和聪明的小伙伴并肩奋斗，一起攻坚互联网行业前沿的社区、社交、商业、交易、AI等产品和技术能力。和产品一起设计策略，优化用户体验，和算法工程师一起攻坚模型优化，和运营一起运筹帷幄，变革市场认知，解决业务难题，为亿级用户提供优质且完整的社区服务。

岗位职责
1、负责小红书各业务数据支持，包括数据基建、看板搭建、实验分析、异动分析等，结合全域数据生态，为业务的发展提供数据能力支撑；
2、协助业务做好数据洞察以及定性和定量分析，迅速定位内部问题或发现潜在机会，找到可优化提升的切入点，帮助业务快速提升；
3、建设和完善业务数据分析体系，通过AB测试进行深入的归因分析，并对实验迭代提出方向性建议，帮助实验迭代和业务发展；", 中文,2025-12-31,上海市/上海市/黄浦区 LuOne凯德晶萃广场,https://www.shixiseng.com/intern/inn_fxyt7thj336j?pcm=pc_SearchList
13,数据分析师实习生——生态,薪资面议,小红书,上海,小红书,不限,5天／周,实习3个月,不打卡,"我们是谁
「数据科学与分析部」面向小红书公司和平台，与全产品矩阵的所有业务紧密协作，建设数据体系，敏锐洞察国内外市场，关注行业动态、用户&客户诉求，创造数据价值，实现数据驱动业务决策，成为业务决策大脑，打造业内领先的数据科学与分析团队。
见证为小红书提供无限可能的各象限业务的高速发展，面临多重的业务场景、复杂的业务逻辑、超大的数据量级、空前的技术挑战，助你快速上手公司全流程业务，为你提升职业生涯核心竞争力!
和靠谱和聪明的小伙伴并肩奋斗，一起攻坚互联网行业前沿的社区、社交、商业、交易、AI等产品和技术能力。和产品一起设计策略，优化用户体验，和算法工程师一起攻坚模型优化，和运营一起运筹帷幄，变革市场认知，解决业务难题，为亿级用户提供优质且完整的社区服务。

岗位职责
1、负责小红书各业务数据支持，包括数据基建、看板搭建、实验分析、异动分析等，结合全域数据生态，为业务的发展提供数据能力支撑；
2、协助业务做好数据洞察以及定性和定量分析，迅速定位内部问题或发现潜在机会，找到可优化提升的切入点，帮助业务快速提升；
3、建设和完善业务数据分析体系，通过AB测试进行深入的归因分析，并对实验迭代提出方向性建议，帮助实验迭代和业务发展；", 中文,2026-10-10,上海市/上海市/黄浦区 LuOne凯德晶萃广场,https://www.shixiseng.com/intern/inn_bwgqzkzcyrpo?pcm=pc_SearchList
14,数据分析师实习生—经营分析,薪资面议,小红书,上海,小红书,本科,5天／周,实习3个月,餐补,"我们是谁
「数据科学与分析部」面向小红书公司和平台，与全产品矩阵的所有业务紧密协作，建设数据体系，敏锐洞察国内外市场，关注行业动态、用户&客户诉求，创造数据价值，实现数据驱动业务决策，成为业务决策大脑，打造业内领先的数据科学与分析团队。
见证为小红书提供无限可能的各象限业务的高速发展，面临多重的业务场景、复杂的业务逻辑、超大的数据量级、空前的技术挑战，助你快速上手公司全流程业务，为你提升职业生涯核心竞争力!
和靠谱和聪明的小伙伴并肩奋斗，一起攻坚互联网行业前沿的社区、社交、商业、交易、AI等产品和技术能力。和产品一起设计策略，优化用户体验，和算法工程师一起攻坚模型优化，和运营一起运筹帷幄，变革市场认知，解决业务难题，为亿级用户提供优质且完整的社区服务。

岗位职责
1、负责小红书各业务数据支持，包括数据基建、看板搭建、实验分析、异动分析等，结合全域数据生态，为业务的发展提供数据能力支撑；
2、协助业务做好数据洞察以及定性和定量分析，迅速定位内部问题或发现潜在机会，找到可优化提升的切入点，帮助业务快速提升；
3、建设和完善业务数据分析体系，通过AB测试进行深入的归因分析，并对实验迭代提出方向性建议，帮助实验迭代和业务发展；", 中文,2026-10-10,上海市/上海市/黄浦区 LuOne凯德晶萃广场,https://www.shixiseng.com/intern/inn_czg79tz8im6c?pcm=pc_SearchList
15,数据分析师实习生——运营-垂类,薪资面议,小红书,上海,小红书,本科,5天／周,实习3个月,"周末双休, 节日福利","我们是谁
「数据科学与分析部」面向小红书公司和平台，与全产品矩阵的所有业务紧密协作，建设数据体系，敏锐洞察国内外市场，关注行业动态、用户&客户诉求，创造数据价值，实现数据驱动业务决策，成为业务决策大脑，打造业内领先的数据科学与分析团队。
见证为小红书提供无限可能的各象限业务的高速发展，面临多重的业务场景、复杂的业务逻辑、超大的数据量级、空前的技术挑战，助你快速上手公司全流程业务，为你提升职业生涯核心竞争力!
和靠谱和聪明的小伙伴并肩奋斗，一起攻坚互联网行业前沿的社区、社交、商业、交易、AI等产品和技术能力。和产品一起设计策略，优化用户体验，和算法工程师一起攻坚模型优化，和运营一起运筹帷幄，变革市场认知，解决业务难题，为亿级用户提供优质且完整的社区服务。

岗位职责
1、负责小红书各业务数据支持，包括数据基建、看板搭建、实验分析、异动分析等，结合全域数据生态，为业务的发展提供数据能力支撑；
2、协助业务做好数据洞察以及定性和定量分析，迅速定位内部问题或发现潜在机会，找到可优化提升的切入点，帮助业务快速提升；
3、建设和完善业务数据分析体系，通过AB测试进行深入的归因分析，并对实验迭代提出方向性建议，帮助实验迭代和业务发展；", 中文,2026-10-10,上海市/上海市/黄浦区 LuOne凯德晶萃广场,https://www.shixiseng.com/intern/inn_kclv5c94ofiw?pcm=pc_SearchList
16,社交媒体大数据分析师助理,100-150/天,simplyBrand,上海,simplyBrand,不限,4天／周,实习3个月,"大数据, 机器学习, social, media, 新媒体, 热门职业, 数据分析"," （可接受远程）
 你将作为实际报告的撰写者，而不只是简单枯燥的数据处理人员，参加到我们小组的工作当中，包括但不限于：

 （1）处理Social Media上品牌相关的帖子，进行公关监测和预警
 （2）Marketing Campaign监测和分析，为品牌提供营销结果和建议
 （3）撰写数字营销案例，为品牌提供营销洞察和趋势分析
 （4）参与品类产品研究及消费者群体研究
 （5）服务客户涵盖FMCG, Auto，Mobile, 及Entertainment等多种领域
 

职位要求：
1.工作严谨、细致、认真、责任心强，学习能力强；
2.能熟练使用Excel;
3.熟练使用PPT；
4.英文阅读和书写能力好；
5.具有良好的团队意识和沟通表达能力；
6.熟悉互联网各平台，熟悉流量明星和新媒体；
7. 每周需要出勤4天以上。", 中文 英文,2026-3-31,霍山路398号光大安石中心,https://www.shixiseng.com/intern/inn_dgfgbmyirw5j?pcm=pc_SearchList
17,数据分析师实习生 base上海,薪资面议,小红书,上海,小红书,硕士,4天／周,实习3个月,"可转正实习, 餐补","我们是谁
「数据科学与分析部」面向小红书公司和平台，与全产品矩阵的所有业务紧密协作，建设数据体系，敏锐洞察国内外市场，关注行业动态、用户&客户诉求，创造数据价值，实现数据驱动业务决策，成为业务决策大脑，打造业内领先的数据科学与分析团队。
见证为小红书提供无限可能的各象限业务的高速发展，面临多重的业务场景、复杂的业务逻辑、超大的数据量级、空前的技术挑战，助你快速上手公司全流程业务，为你提升职业生涯核心竞争力!
和靠谱和聪明的小伙伴并肩奋斗，一起攻坚互联网行业前沿的社区、社交、商业、交易、AI等产品和技术能力。和产品一起设计策略，优化用户体验，和算法工程师一起攻坚模型优化，和运营一起运筹帷幄，变革市场认知，解决业务难题，为亿级用户提供优质且完整的社区服务。

岗位职责
1、负责小红书各业务数据支持，包括数据基建、看板搭建、实验分析、异动分析等，结合全域数据生态，为业务的发展提供数据能力支撑；
2、协助业务做好数据洞察以及定性和定量分析，迅速定位内部问题或发现潜在机会，找到可优化提升的切入点，帮助业务快速提升；
3、建设和完善业务数据分析体系，通过AB测试进行深入的归因分析，并对实验迭代提出方向性建议，帮助实验迭代和业务发展；

任职资格
学历背景： 211或QS100院校优先，硕士及以上学历者优先，数学、统计学、经济学、计算机专业优先；
时间要求： 能保证连续实习至少3个月，并每周全职出勤4天及以上。优先能实习6个月以上
有统计、机器学习、深度学习相关研究或实习经历优先；
熟悉Python、R、Hive等常用数据技术优先；
对数据敏感，具有良好的逻辑思维能力、分析总结能力、表达呈现能力；
有挑战难题的热情和韧性，良好的团队沟通和协作能力。", 中文,2025-12-31,上海市/上海市/黄浦区 LuOne凯德晶萃广场,https://www.shixiseng.com/intern/inn_jsshw4iz7kub?pcm=pc_SearchList
18,数据分析师实习生——c端产品,薪资面议,小红书,上海,小红书,不限,5天／周,实习3个月,"一对一导师, 实习津贴","数据科学与分析部」面向小红书公司和平台，与全产品矩阵的所有业务紧密协作，建设数据体系，敏锐洞察国内外市场，关注行业动态、用户&客户诉求，创造数据价值，实现数据驱动业务决策，成为业务决策大脑，打造业内领先的数据科学与分析团队。
见证为小红书提供无限可能的各象限业务的高速发展，面临多重的业务场景、复杂的业务逻辑、超大的数据量级、空前的技术挑战，助你快速上手公司全流程业务，为你提升职业生涯核心竞争力!
和靠谱和聪明的小伙伴并肩奋斗，一起攻坚互联网行业前沿的社区、社交、商业、交易、AI等产品和技术能力。和产品一起设计策略，优化用户体验，和算法工程师一起攻坚模型优化，和运营一起运筹帷幄，变革市场认知，解决业务难题，为亿级用户提供优质且完整的社区服务。

岗位职责
1、负责小红书各业务数据支持，包括数据基建、看板搭建、实验分析、异动分析等，结合全域数据生态，为业务的发展提供数据能力支撑；
2、协助业务做好数据洞察以及定性和定量分析，迅速定位内部问题或发现潜在机会，找到可优化提升的切入点，帮助业务快速提升；
3、建设和完善业务数据分析体系，通过AB测试进行深入的归因分析，并对实验迭代提出方向性建议，帮助实验迭代和业务发展；", 中文,2026-10-10,上海市/上海市/黄浦区 LuOne凯德晶萃广场,https://www.shixiseng.com/intern/inn_kczznyf9mwdy?pcm=pc_SearchList
19,数据分析师（实习）,150-300/天,深度赋智（MetaGPT）,厦门,深度赋智（MetaGPT）,不限,5天／周,实习3个月,可转正实习,"团队亮点：
技术顶流：手握GitHub第一多智能体框架，产品横扫Product日榜Top1!
学术王者：连续两年斩获AI顶会ICLR Oral，用硬核技术定义未来！
行业标杆：全球首个 A1智能体开发团队，效率颠覆式革新!

岗位职责:
1.参与MetaGPT产品化落地，保持对LLM Agents方向前沿动态跟踪，及时调研与沉淀竞品信息；
2.通过调研、数据分析等手段，定义垂直领域用户使用场景，整理和细化AI产品需求，编写PRD、用户手册等产品文档；
3.参与用户使用场景的效果评估，与算法和数据团队配合提升agent效果，推动产品的迭代优化；
4.洞察C端用户需求，协助支持产品推广与运营工作，提升用户满意度和忠诚度；

任职要求：
1.base厦门，具有AI产品或C端产品经验，实习3-6个月，优秀可直接转正；
2.计算机、人工智能、软件工程、数学或相关专业本科及以上学历；
3.对AI有极大的热情，对LLM Agent技术和市场趋势有深入的了解和洞察；
4.责任心强，有良好的协作能力和逻辑思维，善于分析和闭环解决问题；
5.产品功底扎实，具备良好的产品设计和数据分析能力，有AI产品或海外C端产品经验、熟悉AI产品生态增长策略者优先。", 中文,2025-12-21,福建省/厦门市/思明区 创新大厦A区603,https://www.shixiseng.com/intern/inn_vkxigbyed2ci?pcm=pc_SearchList
20,实习产品经理助理/分析师（数据库、大数据与人工智能领域）,薪资面议,常得科技,深圳,常得科技,本科,3天／周,实习6个月,"不打卡, 远程实习, 不加班, 寒假实习, 一对一导师","【岗位职责】
* 跟踪数据库、大数据分析和人工智能领域的最新技术趋势、关键产品及商业进展，涵盖领域包括云数据库、大数据处理平台、流式数据分析技术、多模态大型模型等。
* 每周负责：
1. 梳理技术产品、商业领域、开源、初创和产业链的热点话题和重要讯息，输出有价值观点；
2. 围绕技术趋势、产品动态、公司经营或行业走向等专题，撰写洞察分析报告；
3. 基于分析成果，筛选潜在投资机会，支持模拟投资和实盘操作，以优化投资组合。

【岗位亮点】
* 行业资深专家直接指导，学习500强企业的战略分析技巧，掌握行业领先技术知识和深度思考。
* 持续接触并研究全球最前沿技术和资讯，以全球化的视野持续提高自身素养和洞察力，为未来的职业生涯奠定坚实基础。
* 亲身参与资产配置与管理， 通过系统化实践锻炼，培养投资素养和财富管理能力。

【岗位待遇】
* 工资根据个人产出按月结算。
* 提供远程办公机会，工作时间灵活，无需到办公室坐班或打卡。
* 实习结束后，可提供实习证明或推荐信。

【岗位要求】
* 计算机及相关专业本科在读或毕业生，对大数据技术和商业应用有浓厚兴趣和持续学习热情。
* 拥有实际的计算机软硬件项目经验，包括但不限于芯片设计、系统编程和应用开发等。
* 具备优秀的文字表达能力及中英文阅读能力，能够独立思考并撰写专业文章。
* 有一定的实习经验，具备良好的职场素养和培养潜力。", 不限,2026-1-16,广东省/深圳市/南山区 深圳万象天地,https://www.shixiseng.com/intern/inn_qqcdvebvgzhu?pcm=pc_SearchList
21,数据分析实习生,100-120/天,博睿盛伦国际咨询,济南,博睿盛伦国际咨询,本科,5天／周,实习3个月,"可转正实习, 下午茶, 周末双休, 弹性工作, 实习证明","岗位职责：
1.从事汽车相关行业的市场研究与咨询服务；
2.协助进行定量数据清洗建模分析，撰写整理数据报告；
3.协助经理完成其他事务性工作。
任职要求：
1.2023届毕业生，统计学、数学、计算机相关专业本科及以上学历，硕士优先；
2.善于学习，认真负责，有一定的沟通表达能力；
3.可熟练使用office、SPSS等相关数据分析软件；
4.时间稳定，可全职到岗，实习期3个月及以上；
5.可开实习证明，表现优秀者提供转正机会。", 中文,2026-3-31,济南市历下区数码港大厦C座1204-2,https://www.shixiseng.com/intern/inn_ku5ya4smr3ve?pcm=pc_SearchList
22,商业数据分析/咨询分析实习生,200-400/天,MarcPoint,上海,MarcPoint,本科,5天／周,实习3个月,"可转正实习, 接受大一大二, 零基础实习, 留学生实习, 高提成, 项目奖金, 周末双休, 福利好, 学习机会多, 商业实战"," 岗位职责：


 


 1、 使用BI工具、Excel进行市场咨询项目数据的汇总、整理、分析、校验等工作；


 2、 参与项目的行业及品牌信息搜集整理、数据分析、营销策略探讨及支持报告撰写；


 3、 根据需要完成上级交付的日常任务


 4、领导交待的其他事宜。


 


 任职要求：


 


 1、学历要求：本科及以上学历


 2、专业要求：商业分析、市场营销、 Digital Marketing、心理学、社会学、管理学、统计学等相关专业优先；


 3、技能要求：熟练的PPT 及Excel 技能；熟悉Finebi、Tableau等BI类工具优先


 4、其他要求：


 a.市场调研、咨询、消费者研究、市场营销相关经验优先；


 b具备较强逻辑思维能力、商业敏感性、营销思维；优秀的信息收集、整合、分析能力；


 c.对大健康、护肤、食品饮料、服饰、母婴等领域有兴趣或研究优先


 d.自我驱动，有强烈的好奇心、责任心和团队沟通能力，细致认真，有一定抗压能力；


 


 d.每周至少保证出勤4个工作日，至少实习3个月。实习满三个月有转正机会（针对应届生）。", 中文,2025-11-21,上海市/上海市/徐汇区 科技大楼C楼 宜山路900号科技产业化大楼C座1701室,https://www.shixiseng.com/intern/inn_cvjanhx1w8oi?pcm=pc_SearchList
